sr	ru	words	top2000	sr_id
A sad?	А сейчас?	2	1	397572
A sad?	А теперь?	2	1	397572
A ti?	А ты?	2	1	3414401
Agresivna je.	Она агрессивна.	2	0	8917473
Ako želite.	Как хотите.	2	1	1484520
Ali zašto?	Но почему?	2	1	4264018
Bez komentara!	Без комментариев!	2	0	6900272
Bez sumnje!	Без сомнения!	2	0	5809566
Biću automehaničar.	Я буду автомехаником.	2	0	3472102
Biću tamo.	Я буду там.	2	1	5586402
Bog zna.	Бог знает.	2	1	5874298
Bojim se.	Я боюсь.	2	1	4999356
Brod tone.	Корабль тонет.	2	0	3281933
Budi spreman.	Будь готов.	2	1	6535749
Budi tamo.	Будь там.	2	1	6897319
Budi zahvalan.	Будь благодарен.	2	0	11170926
Budi zdrav!	Будь здоров!	2	0	1111663
Budite hrabri!	Будьте храбры!	2	0	5558017
Budite tamo.	Будьте там.	2	1	6897328
Budite zahvalan.	Будь благодарен.	2	0	11170932
Da, možemo.	Да, можем.	2	1	3283428
Da, možemo.	Да, мы можем.	2	1	6900252
Da, znam.	Да, знаю.	2	1	8845746
Deca spavaju.	Дети спят.	2	0	4292342
Do viđenja!	До свидания!	2	0	5553177
Dobar dan!	Добрый день!	2	1	3314350
Dobar je.	Он хороший.	2	1	2271285
Dobar je.	Он добрый.	2	1	2271285
Dobra ideja!	Хорошая идея!	2	1	1098561
Dobro došli!	Добро пожаловать!	2	1	8852064
Dobro došli.	Добро пожаловать.	2	1	2332062
Dobro je.	Это хорошо.	2	1	3644358
Dobro je.	Оно хорошее.	2	1	3644358
Dobro jutro!	Доброе утро!	2	1	3384118
Dobro kuvaš?	Ты хорошо готовишь?	2	0	8888785
Dobro pitanje.	Хороший вопрос.	2	1	3263627
Dobro radiš.	Ты хорошо работаешь.	2	1	4273226
Dobro sam.	У меня всё хорошо.	2	1	4248516
Dolazi autobus.	Автобус подходит.	2	0	3279785
Dosadan sam.	Я скучный.	2	0	3669242
Dođi bliže.	Подойди ближе.	2	0	4995976
Dođi sutra.	Приходи завтра.	2	1	4995968
Dođite sutra.	Приходите завтра.	2	1	4995969
Drvo gori.	Дерево горит.	2	0	5003672
Drži ovo.	Держи это.	2	1	8831007
Duva vetar.	Дует ветер.	2	0	3463566
Evo knjige.	Вот книги.	2	1	3438803
Gde ideš?	Куда ты идёшь?	2	1	1232300
Gde ćeš?	Где ты будешь?	2	1	3387240
Gladan sam.	Я голоден.	2	1	3264437
Gladan sam.	Я голодный.	2	1	3264437
Glup si.	Ты глуп.	2	1	3243180
Glupa si.	Ты глупая.	2	1	4993188
Glupi ste.	Вы глупые.	2	1	4993189
Govori jasno.	Говори ясно.	2	1	3654415
Govori tiho.	Говори тихо.	2	1	6976046
Govori tiše!	Говори тише!	2	0	6976050
Govori tiše.	Говори тише.	2	0	6877252
Hajdemo kući.	Пойдём домой.	2	1	3243882
Hladno je.	Холодно.	2	1	3242667
Hoću mač!	Я хочу меч!	2	0	3313557
Hvala lepo!	Большое спасибо!	2	1	6369107
I ja.	И я.	2	1	3390858
I šta?	И что?	2	1	5577303
Idemo kući.	Мы идём домой.	2	1	5599964
Ignoriši ih.	Игнорируй их.	2	0	5043676
Igram hokej.	Я играю в хоккей.	2	0	5841833
Igram hokej.	Играю в хоккей.	2	0	5863910
Igram tenis.	Я играю в теннис.	2	0	3384568
Igraću tenis.	Я буду играть в теннис.	2	0	6993132
Ima bradu.	У него есть борода.	2	0	8888770
Ima grčeve.	У неё судороги.	2	0	8854747
Ima grčeve.	У него судороги.	2	0	8854747
Imam auto.	У меня есть машина.	2	1	6960920
Imam auto.	У меня есть автомобиль.	2	1	6960920
Imam baklju.	У меня есть факел.	2	0	8838971
Imam bicikl.	У меня есть велосипед.	2	0	1457600
Imam biljke.	У меня есть растения.	2	0	8891991
Imam dijabetes.	У меня диабет.	2	0	8842695
Imam dušu.	У меня есть душа.	2	0	8892088
Imam dvorište.	У меня есть двор.	2	0	8840301
Imam glavobolju.	У меня болит голова.	2	0	3384084
Imam glavobolju.	У меня голова болит.	2	0	3384084
Imam gorušicu.	У меня изжога.	2	0	8844632
Imam granatu.	У меня граната.	2	0	3350419
Imam granatu.	У меня есть граната.	2	0	3350419
Imam ideju.	У меня есть идея.	2	1	2925861
Imam ideju.	У меня идея.	2	1	2925861
Imam izbor.	У меня есть выбор.	2	1	8823877
Imam kišobran.	У меня есть зонт.	2	0	8829771
Imam kišobran.	У меня есть зонтик.	2	0	8829771
Imam knjigu.	У меня есть книга.	2	1	3434499
Imam kompjuter.	У меня есть компьютер.	2	0	8892045
Imam košnice.	У меня есть ульи.	2	0	8854796
Imam kuću.	У меня есть дом.	2	1	8829996
Imam mačku.	У меня есть кошка.	2	0	8890371
Imam modricu.	У меня синяк.	2	0	4967535
Imam nož.	У меня есть нож.	2	1	8823937
Imam nož.	У меня нож.	2	1	8823937
Imam partnera.	У меня есть партнёр.	2	0	8823797
Imam pitanje.	У меня есть вопрос.	2	1	5248269
Imam pitanje.	У меня вопрос.	2	1	3424927
Imam pištolj.	У меня есть пистолет.	2	1	8892023
Imam pištolj.	У меня пистолет.	2	1	8892023
Imam porodicu.	У меня есть семья.	2	1	2499654
Imam praznike.	У меня каникулы.	2	0	1505701
Imam problem.	У меня проблема.	2	1	5635284
Imam problem.	У меня есть проблема.	2	1	5635284
Imam proliv.	У меня диарея.	2	0	1179885
Imam rečnik.	У меня есть словарь.	2	0	3425851
Imam skejtbord.	У меня есть скейтборд.	2	0	8840458
Imam violinu.	У меня есть скрипка.	2	0	8823914
Imam ćerku.	У меня есть дочь.	2	0	3266425
Imaš pravo.	Ты прав.	2	1	3243480
Imaš temperaturu.	У тебя температура.	2	0	3650677
Improvizovala sam.	Я импровизировала.	2	0	4999434
Isplazite jezik!	Высуньте язык!	2	0	1484588
Isplazite jezik!	Покажите язык!	2	0	1484588
Izgledaš glupavo.	Ты глупо выглядишь.	2	0	6303055
Izgledaš glupavo.	Ты выглядишь глупо.	2	0	6303055
Izgledaš glupo.	Ты выглядишь глупо.	2	1	3430033
Izgledaš zdravo.	Ты выглядишь здоровым.	2	1	3650664
Izgledaš zdravo.	Ты выглядишь здоровой.	2	1	3650664
Izlazite odatle.	Выходите оттуда.	2	0	4449684
Izmešajte šećer.	Размешайте сахар.	2	0	2067549
Izujte cipele.	Снимите обувь.	2	0	3419153
Izujte cipele.	Разуйтесь.	2	0	3419153
Izvinite me.	Извините меня.	2	1	2263875
Ja plaćam.	Я плачу.	2	0	6825062
Ja predajem.	Я преподаю.	2	0	3243460
Ja prevodim.	Я перевожу.	2	0	399088
Ja radim.	Я работаю.	2	1	5577304
Ja, takođe.	Я тоже.	2	1	3390861
Jedem ovde.	Я ем здесь.	2	0	1054923
Još ne.	Ещё нет.	2	1	6895821
Kada dolaziš?	Когда придёшь?	2	0	8888762
Kada odlaziš?	Когда ты уезжаешь?	2	0	1384492
Kada odlaziš?	Когда уезжаешь?	2	0	1384492
Kafu, moliću.	Кофе, пожалуйста.	2	0	3791383
Kakav ego!	Какое эго!	2	0	5955144
Kako brzo!	Как быстро!	2	1	4246036
Kako dirljivo!	Как трогательно!	2	0	4999454
Kako melodramatično!	Как мелодраматично!	2	0	4999458
Kako si?	Как ты?	2	1	1076696
Kako ste?	Как поживаете?	2	1	400925
Kako ste?	Как дела?	2	1	400925
Kako ste?	Как вы?	2	1	400925
Kasno je.	Поздно.	2	1	4960967
Kaži joj.	Скажи ей.	2	1	7009902
Kaži mu.	Скажи ему.	2	1	7009912
Kažnjen sam.	Я наказан.	2	0	4999271
Kažnjena sam.	Я наказана.	2	0	4999274
Klaustrofobična sam.	У меня клаустрофобия.	2	0	4999320
Ko kuca?	Кто стучит?	2	0	4248687
Ko kuca?	Кто стучится?	2	0	4248687
Ko zna?	Кто знает?	2	1	1178208
Koga briga?	Кого это волнует?	2	1	6369051
Koga voliš?	Кого ты любишь?	2	1	8888761
Koga čekate?	Кого вы ждёте?	2	0	3371112
Koga čekaš?	Кого ты ждёшь?	2	0	3371121
Koji broj?	Какое число?	2	1	1214488
Koji broj?	Какой номер?	2	1	1214488
Koliko duboko?	Как глубоко?	2	1	5003570
Koliko jabuka?	Сколько яблок?	2	0	664830
Kuvam ručak.	Я готовлю обед.	2	0	6475470
Lako je.	Это легко.	2	1	1133783
Lako je.	Оно лёгкое.	2	1	1133783
Laku noć!	Спокойной ночи!	2	1	1714768
Laku noć.	Спокойной ночи.	2	1	3392020
Ljubav oslepljuje.	Любовь ослепляет.	2	0	1181847
