level	score	vocab	morph	len	clauses	sr	ru	sr_id
1	0.00	0.00	0	2	1	Zašto ne?	Почему нет?	1946216
1	0.00	0.00	0	2	1	Zašto to?	Почему так?	6307691
1	0.15	0.13	0	2	1	Još ne.	Ещё нет.	6895821
1	0.32	0.27	0	2	1	I ja.	И я.	3390858
1	0.32	0.27	0	2	1	Zašto ja?	Почему я?	6314412
1	0.49	0.41	0	3	1	Gde sam sada?	Где я сейчас?	5843312
1	0.50	0.42	0	2	1	I šta?	И что?	5577303
1	0.50	0.42	0	2	1	Nego šta!	Безусловно!	8846192
1	0.50	0.42	0	2	1	Pa šta?	И что?	3243822
1	0.50	0.42	0	3	1	Šta je to?	Что это?	2057027
1	0.54	0.45	0	3	1	Šta je ovo?	Что это?	468730
1	0.64	0.54	0	3	1	Šta on radi?	Чем он занимается?	5806674
1	0.64	0.54	0	3	1	Šta on radi?	Что он делает?	5806674
1	0.67	0.56	0	3	1	Zašto uvek ja?	Почему всегда я?	924317
1	0.70	0.58	0	3	1	Šta je tu?	Что тут?	1175646
1	0.77	0.64	0	2	1	Dobro je.	Это хорошо.	3644358
1	0.77	0.64	0	2	1	Dobro je.	Оно хорошее.	3644358
1	0.77	0.64	0	2	1	Dobro sam.	У меня всё хорошо.	4248516
1	0.77	0.64	0	2	1	Veoma dobro!	Очень хорошо!	5552596
1	0.77	0.64	0	3	1	Ja sam dobro.	Я в порядке.	3311719
1	0.77	0.64	0	3	1	On dobro radi.	Он хорошо работает.	1185030
1	0.78	0.65	0	2	1	Ovde sam.	Я здесь.	4999268
1	0.78	0.65	0	3	1	Sve je ovde.	Всё здесь.	4997565
1	0.78	0.65	0	3	1	Zašto sam ovde?	Почему я здесь?	4324468
1	0.78	0.65	0	3	1	Zašto sam ovde?	Для чего я здесь?	4324468
1	0.82	0.27	0	4	1	Ja sam samo prevodilac.	Я всего лишь переводчик.	6533016
1	0.83	0.70	0	2	1	Koji broj?	Какое число?	1214488
1	0.83	0.70	0	2	1	Koji broj?	Какой номер?	1214488
1	0.83	0.69	0	3	1	Šta to znači?	Что это значит?	3362008
1	0.84	0.70	0	2	1	A sad?	А сейчас?	397572
1	0.84	0.70	0	2	1	A sad?	А теперь?	397572
1	0.84	0.70	0	3	1	Gde sam sad?	Где я сейчас?	5843314
1	0.95	0.80	0	2	1	Ne znam.	Я не знаю.	3243810
1	0.95	0.80	0	2	1	Ne znam.	Не знаю.	3243810
1	0.95	0.80	0	2	1	Sve znam.	Я всё знаю.	3245813
1	0.95	0.80	0	2	1	Znam ga.	Я его знаю.	8847981
1	0.95	0.80	0	3	1	Ja sve znam.	Я знаю всё.	392447
1	0.95	0.80	0	3	1	Ja sve znam.	Я все знаю.	475316
1	0.95	0.80	0	3	1	Ja sve znam.	Я всё знаю.	392447
1	0.98	0.82	0	3	1	Zašto baš ja?	Почему я?	6314414
1	1.00	0.00	0	2	2	Ali zašto?	Но почему?	4264018
1	1.00	0.84	0	2	1	Tamo je.	Это там.	4993351
1	1.00	0.84	0	2	1	Tamo je.	Там.	4993351
1	1.00	0.00	0	2	2	Za što?	Для чего?	1157214
1	1.00	0.00	0	3	2	Da ili ne?	Да или нет?	3334520
1	1.00	0.84	0	3	1	Šta je problem?	В чем проблема?	3650921
1	1.04	0.87	0	2	1	Kako si?	Как ты?	1076696
1	1.04	0.87	0	3	1	Gde si sad?	Где ты сейчас?	5843305
1	1.04	0.87	0	3	1	Gde si sada?	Где ты сейчас?	5039825
1	1.10	0.91	0	2	1	Dobro pitanje.	Хороший вопрос.	3263627
1	1.13	0.95	0	2	1	Teško je.	Тяжело.	1060932
1	1.13	0.95	0	2	1	Teško je.	Это тяжело.	1060932
1	1.13	0.95	0	2	1	Teško je.	Оно тяжёлое.	1060932
1	1.13	0.94	0	3	1	Ovo je život.	Это жизнь.	5819528
1	1.13	0.94	0	3	1	To je život.	Это жизнь.	5819529
1	1.15	0.96	0	2	1	Nije moguće!	Не может быть!	1221185
1	1.15	0.96	0	3	1	To nije moguće.	Это невозможно.	1097804
1	1.16	0.96	0	3	1	Niko ne zna.	Никто не знает.	3282784
1	1.20	1.00	0	2	1	Imam bicikl.	У меня есть велосипед.	1457600
1	1.20	1.00	0	2	1	Imam pitanje.	У меня есть вопрос.	5248269
1	1.20	1.00	0	2	1	Imam pitanje.	У меня вопрос.	3424927
1	1.20	1.00	0	2	1	Imam problem.	У меня проблема.	5635284
1	1.20	1.00	0	2	1	Imam problem.	У меня есть проблема.	5635284
1	1.20	1.00	0	2	1	Ne govori.	Не говори.	4996840
1	1.20	1.00	0	3	1	Ja imam problem.	У меня проблема.	3650927
1	1.20	1.00	0	3	1	Već imam posao.	У меня уже есть работа.	8834803
1	1.21	1.01	0	3	1	Kako ide posao?	Как идёт работа?	5843375
1	1.22	0.60	0	4	1	To je veoma opasno.	Это очень опасно.	4782974
1	1.23	1.03	0	2	1	Lako je.	Это легко.	1133783
1	1.23	1.03	0	2	1	Lako je.	Оно лёгкое.	1133783
1	1.24	0.37	1	2	1	Ne mogu.	Я не могу.	1056515
1	1.24	0.37	1	2	1	Ne mogu.	Не могу.	1056515
1	1.24	1.03	0	3	1	Kako ona izgleda?	Как она выглядит?	3495054
1	1.25	1.04	0	3	1	Bicikl je moj.	Велосипед мой.	3478048
1	1.27	1.06	0	2	1	Govori jasno.	Говори ясно.	3654415
1	1.28	0.65	0	4	1	Zašto sam ja ovde?	Зачем я здесь?	4324466
1	1.28	0.65	0	4	1	Zašto sam ja ovde?	Почему я здесь?	4324466
1	1.29	0.41	1	3	1	Gde smo sada?	Где мы сейчас?	5843307
1	1.33	1.11	0	2	1	Kako brzo!	Как быстро!	4246036
1	1.33	1.11	0	3	1	Evo šta mislim.	Вот что я думаю.	5002292
1	1.33	1.11	0	3	1	Ne tako brzo!	Не так быстро!	6878868
1	1.33	0.69	0	4	1	Šta znači to sve?	Что это всё значит?	4251197
1	1.33	0.69	0	4	1	Šta znači to sve?	Что это всё означает?	4251197
1	1.35	1.12	0	3	1	Video sam ga.	Я сам его видел.	1714773
1	1.37	1.14	0	2	1	Vidim to.	Я это вижу.	4250468
1	1.37	1.14	0	3	1	Ne vidim ništa.	Я ничего не вижу.	3300894
1	1.37	1.14	0	3	1	Sad ili nikad!	Сейчас или никогда!	6937645
1	1.38	1.15	0	2	1	Hvala lepo!	Большое спасибо!	6369107
1	1.38	0.49	1	2	1	Kako ste?	Как поживаете?	400925
1	1.38	0.49	1	2	1	Kako ste?	Как дела?	400925
1	1.38	0.49	1	2	1	Kako ste?	Как вы?	400925
1	1.38	1.15	0	2	1	Mnogo hvala!	Большое спасибо!	1157180
1	1.38	1.15	0	3	1	Hvala. Dobro sam.	Спасибо, хорошо.	884783
1	1.38	1.15	0	3	1	On lepo piše.	Он красиво пишет.	3412943
1	1.38	1.15	0	3	1	Ovo nije važno.	Это не важно.	3292863
1	1.38	1.15	0	3	1	Sve je važno.	Всё важно.	6535746
1	1.38	1.15	0	3	1	To nije važno.	Это неважно.	4993324
1	1.39	0.74	0	4	1	I ja tako mislim.	И я так думаю.	6580728
1	1.39	0.74	0	4	1	I ja tako mislim.	Я тоже так думаю.	6580730
1	1.39	0.74	0	4	1	Ja ne mislim tako.	Я так не думаю.	3441057
1	1.41	1.17	0	2	1	Dobar dan!	Добрый день!	3314350
1	1.41	1.17	0	2	1	Dobar je.	Он хороший.	2271285
1	1.41	1.17	0	2	1	Dobar je.	Он добрый.	2271285
1	1.41	1.17	0	3	1	On je dobar.	Он хороший.	2271283
1	1.41	1.17	0	3	1	On je dobar.	Он добрый.	2271283
1	1.42	1.18	0	3	1	Gde on živi?	Где он живёт?	3295056
1	1.46	1.22	0	3	1	Ona radi sama.	Она работает одна.	3342337
1	1.50	0.58	1	2	1	Tu smo.	Мы тут.	4993214
1	1.50	0.00	0	4	2	Ne, ne i ne!	Нет, нет и нет!	5785693
1	1.50	0.84	0	4	1	Šta je tu problem?	В чём тут проблема?	4976068
1	1.51	1.26	0	3	1	Kao i obično.	Как обычно.	3327882
1	1.51	1.26	0	3	1	On traži posao.	Он ищет работу.	3288638
1	1.52	1.27	0	2	1	Tačno je.	Точно.	4248672
1	1.52	1.27	0	2	1	Tačno je.	Правильно.	4248672
1	1.52	1.27	0	3	1	To je tačno.	Это точно.	3425034
1	1.54	1.28	0	2	1	Svako zna.	Все знают.	4996917
1	1.55	1.29	0	3	1	Gde je žena?	Где женщина?	6960614
1	1.55	1.29	0	3	1	Novac nije sve.	Деньги - не всё.	3535703
1	1.55	1.29	0	3	1	Takav je on.	Он такой.	3313590
1	1.55	0.88	0	4	1	To je zaista problem.	Это действительно проблема.	3243201
1	1.56	1.30	0	3	1	Uvek postoji sutra.	Всегда существует завтра.	5848723
1	1.56	0.88	0	4	1	Koji je danas dan?	Какой сегодня день?	3267229
1	1.58	0.65	1	2	1	Ovde smo.	Мы здесь.	4993212
1	1.58	0.65	1	3	1	Dobro. A vi?	Хорошо. А вы?	476817
1	1.58	1.32	0	3	1	Gde je knjiga?	Где книга?	3334500
1	1.58	1.32	0	3	1	Knjiga je ovde.	Книга здесь.	3438804
1	1.58	1.32	0	3	1	Ovo je knjiga.	Это книга.	482796
1	1.58	0.65	1	3	1	Svi su ovde.	Все здесь.	4997545
1	1.58	0.90	0	4	1	Kako si samo veliki!	Какой же ты большой!	3247767
1	1.59	1.32	0	3	1	Ovo nije istina.	Это неправда.	409221
1	1.60	0.91	0	4	1	To je dobro pitanje.	Это хороший вопрос.	3334431
1	1.61	1.34	0	3	1	Odgovor na pitanje.	Ответь на вопрос.	1090479
1	1.61	1.34	0	3	1	Policija me traži.	Полиция ищет меня.	8931038
1	1.61	1.34	0	3	1	Policija me traži.	Полиция меня ищет.	8931038
1	1.62	1.35	0	2	1	Dobra ideja!	Хорошая идея!	1098561
1	1.62	1.35	0	3	1	Veoma dobra ideja.	Это хорошая идея.	1052564
1	1.64	1.37	0	2	1	Nemam broj.	У меня нет номера.	3357657
1	1.64	1.37	0	2	1	Nemam odgovor.	У меня нет ответа.	3357592
1	1.64	0.70	1	3	1	Gde smo sad?	Где мы сейчас?	5843310
1	1.65	0.54	0	2	2	Ja, takođe.	Я тоже.	3390861
1	1.65	1.37	0	3	1	Ovo je slika.	Это картина.	8931014
1	1.65	0.96	0	4	1	To zaista nije moguće.	Это правда невозможно.	3387287
1	1.66	1.38	0	3	1	Ja nisam profesor.	Я не учитель.	2332087
1	1.66	1.38	0	3	1	Ja sam profesor.	Я профессор.	478981
1	1.66	1.38	0	3	1	Ja sam profesor.	Я учитель.	2332076
1	1.66	0.96	0	4	1	Niko ne zna ništa.	Никто ничего не знает.	3387040
1	1.67	0.72	1	3	1	Nešto je iskrslo.	Что-то появилось.	6893043
1	1.67	0.97	0	4	1	Ne znam tu reč.	Я не знаю это слово.	3357650
1	1.67	0.97	0	4	1	Šta znači ova reč?	Что означает это слово?	4644911
1	1.68	1.40	0	3	1	Nije teško raditi.	Работать не тяжело.	3305531
