level	sr	ru	unknown
1	Ja sam samo prevodilac.	Я всего лишь переводчик.	prevodilac
1	To je veoma opasno.	Это очень опасно.	opasno
1	Danas je veliki dan, sinko!	Сегодня великий день, сынок!	sinko
1	Ona ima dve hiljade knjiga.	У неё есть две тысячи книг.	hiljade
1	Ovo je najverovatnije glupost.	Это, скорее всего, чушь.	najverovatnije
1	Tvoj bickl liči na moj.	Твой велосипед похож на мой.	bickl
1	Mislim da imaš grip.	Думаю, у тебя грипп.	grip
2	To je čisti eskapizam.	Это чистый эскапизм.	eskapizam
2	Gde mi je kofer?	Где мой чемодан?	kofer
2	Mačka ima dva uva.	У кошки два уха.	uva
2	Napokon sam zavrsio svoj zadatak.	Наконец я закончил своё задание.	zavrsio
2	Moj automobil je u garazi.	Мой автомобиль в гараже.	garazi
2	Ja sam načulio uši.	Я навострил уши.	načulio
2	Tema zaslužuje da bude prodiskutovana.	Эта тема заслуживает обсуждения.	prodiskutovana
2	Oni kupuju povrće u supermarketu.	Они покупают овощи в супермаркете.	supermarketu
3	Grad se satoji iz dva dela.	Город состоит из двух частей.	satoji
3	Japanski jezik je naš maternji jezik.	Японский — наш родной язык.	maternji
3	Potpuno čisti brilijanti to je retkost.	Абсолютно чистые бриллианты — большая редкость.	brilijanti
3	Ona zna da svira pianino.	Она умеет играть на пианино.	pianino
3	Da li je ovo tvoj bickl?	Это твой велосипед?	bickl
3	Sreća neće trajti zauvek.	Счастье никогда не длится вечно.	trajti
3	Igramo futbal svake subote.	Мы каждую субботу играем в футбол.	futbal
3	Ne budite zaspalog mačka.	Не будите спящего кота.	zaspalog
3	Medvedi su prilično opasni.	Медведи достаточно опасны.	opasni
3	Medvedi su veoma opasni.	Медведи очень опасны.	opasni
3	Ta životinja je mesožder.	Это животное питается мясом.	mesožder
3	Tražim nekog ko govori potugalski.	Я ищу кого-нибудь, кто говорит по-португальски.	potugalski
3	Na jedno uvo uđe, na drugo izađe.	В одно ухо влетает, в другое - вылетает.	uvo
3	Atomska energija je skupa i opasna.	Атомная энергия дорога и опасна.	opasna
3	Novi koronavirus je veoma zarazan.	Новый коронавирус очень заразен.	koronavirus
3	Zašto su zečije uši velike?	Почему у зайцев большие уши?	zečije
4	Snaga vode okreće točak.	Сила воды вращает колесо.	točak
4	Bio je go do pojasa.	Он был раздет до пояса.	go
4	Naš jaht klub ima deset članova.	В нашем яхт-клубе десять членов.	jaht
4	U svetu je više od sedam hiljada jezika.	В мире более семи тысяч языков.	hiljada
4	On zna imena svih svojih mušterija.	Он знает имена всех своих клиентов.	mušterija
4	Tom zna imena svih svojih mušterija.	Том знает имена всех своих клиентов.	mušterija
4	Tom zna imena svih svojih mušterija.	Том знает имена всех своих покупателей.	mušterija
4	Tom zna imena svih svojih mušterija.	Том знает имена всех своих заказчиков.	mušterija
4	Crnu vranu sapun neće izbeleti.	Чёрного кобеля не отмоешь добела.	izbeleti
4	Koliko puta si gledao taj fim?	Сколько раз ты видел этот фильм?	fim
4	Prestao sam sa jedenjsm mesa.	Я перестал есть мясо.	jedenjsm
4	Kupio sam šargarepe i kelerabu.	Я купил морковь и кольраби.	kelerabu
4	U Instambulu ima otprilike tri hiljade džamija.	В Стамбуле примерно три тысячи мечетей.	hiljade
4	U Instambulu ima približno tri hiljade džamija.	В Стамбуле около трех тысяч мечетей.	hiljade
4	Stidim se lenjivosti mog sina.	Мне стыдно, что у меня такой ленивый сын.	lenjivosti
4	On je zamenio traumiranog igrača.	Он заменил травмированного игрока.	traumiranog
4	Ofarbao je plafon u plavo.	Он выкрасил потолок в синий цвет.	plafon
4	Ofarbao je plafon u plavo.	Он покрасил потолок в голубой цвет.	plafon
4	Ti tzrenuci su dragi.	Эти часы дорогие.	tzrenuci
4	Tomov biznis ide prilično dobro.	Бизнес Тома идёт достаточно хорошо.	biznis
4	Ova reka se uliva u Tihi Okean.	Эта река впадает в Тихий океан.	uliva
4	Ja mogu da trćim brže nego Ken.	Я могу бежать быстрее, чем Кен.	trćim
4	Ja mogu da trćim brže nego Ken.	Я бегаю быстрее, чем Кен.	trćim
4	Ta reka izlgeda plitko, zar ne?	Та река кажется мелкой, да?	izlgeda
4	Moj hobi je da konstrušem avione.	Моё хобби - конструировать самолёты.	konstrušem
4	Izgledalo je da je Tom zauzetiji nego obično.	Казалось, что Том занят больше, чем обычно.	zauzetiji
5	Sviđa mi seovaj ručni sat.	Мне нравятся эти наручные часы.	seovaj
5	Tom je izgubio svoj aprat za slušanje.	Том потерял свой слуховой аппарат.	aprat
5	Moram da vratim neke knjige u bibliotku.	Мне нужно вернуть в библиотеку кое-какие книги.	bibliotku
5	Kaže se da pas laje a karavn prolazi.	Как говорится: собака лает, караван идёт.	karavn
5	Daj mi hiljadu poljubaca.	Дай мне тысячу поцелуев.	hiljadu
5	Možeš li da jedeš sirove ostige?	Можно ли есть сырые устрицы?	ostige
5	Hajdemo na želežničku stanicu da kupimo karte.	Пойдём на железнодорожный вокзал и купим билеты.	želežničku
5	Moj prijatelj mora da putije u Oslo.	Мой друг должен поехать в Осло.	putije
5	Ultravioletni zraci su opasni za nas.	Ультрафиолетовые лучи опасны для нас.	opasni
5	Uvek se unervozim pred izlazak na pozornicu.	Я всегда нервничаю перед выходом на сцену.	unervozim
5	Ona nije bila pomenuta u njegovom testamentu.	Она не была упомянута в его завещании.	testamentu
5	Da li možete da zasmejete Toma?	Вы можете рассмешить Тома?	zasmejete
5	U mojoj ulici su mnoge višespratne kuće.	На моей улице много многоэтажных домов.	višespratne
5	Tom je osvojio deset hiljada dolara na lutriji.	Том выиграл десять тысяч долларов в лотерею.	hiljada
5	Ti si visok, ali on je još višlji.	Ты высокий, но он ещё выше.	višlji
5	Kada uđe učitelj, prestanite da ragovarate.	Когда войдёт учитель, перестаньте разговаривать.	ragovarate
5	Monotni zvuk točkova železničkog vagona otkucavaju kao sat.	Монотонный звук колёс железнодорожного вагона похож на тиканье часов.	točkova
5	Tom je poštovani biznismen.	Том — уважаемый бизнесмен.	biznismen
5	Kirija nam je previoka, pa tražimo novi stan.	У нас слишком дорогая аренда, поэтому мы ищем другую квартиру.	previoka
