sr	ru	words	sr_id
Da.	Да.	1	12213724
Dole.	Внизу.	1	5691358
Dole.	Вниз.	1	5691358
Dođi!	Приходи!	1	4644937
Gluposti!	Глупости!	1	5599970
Grešiš.	Ошибаешься.	1	938723
Gubim.	Я проигрываю.	1	4992618
Gubite.	Вы проигрываете.	1	4993191
Gubiš.	Ты проигрываешь.	1	4993190
Halo.	Алло.	1	4264020
Hej.	Эй.	1	3303503
Hvala!	Спасибо!	1	3266203
Idem.	Я иду.	1	3311765
Idem.	Иду.	1	3311765
Izvini?	Извини?	1	5003566
Jedem.	Я ем.	1	3281651
Još.	Ещё.	1	5682428
Kasnim.	Я опаздываю.	1	4992619
Konačno!	Наконец!	1	475319
Konačno!	Наконец-то!	1	475319
Kretenizam!	Кретинизм!	1	4960979
Kuvaću.	Я буду готовить.	1	4999391
Kuvaću.	Я буду готовить еду.	1	4999391
Lud!	Сумасшедший!	1	460199
Mraz.	Мороз.	1	6159434
Napad!	Атака!	1	3439008
Napad!	Нападение!	1	3439008
Ne.	Нет.	1	4644940
Obećavam.	Обещаю.	1	3430028
Objasniću.	Я объясню.	1	4999388
Odlazim.	Я ухожу.	1	3292806
Ostaću.	Я останусь.	1	4999372
Otvori.	Открой.	1	5003538
Otvorite.	Откройте.	1	5003539
Ozbiljno?	Серьёзно?	1	3463605
Pazi!	Внимание!	1	5003531
Pevam.	Я пою.	1	2708808
Pokušaj.	Попробуй.	1	4781379
Pokušavamo.	Мы пытаемся.	1	4993206
Pokušavamo.	Мы пробуем.	1	4993206
Pokušaću.	Я попытаюсь.	1	4999371
Pozvaću.	Я позвоню.	1	4999399
Počeću.	Я начну.	1	4999373
Počni.	Начинай.	1	4997615
Počnite.	Начинайте.	1	4997616
Požuri!	Поспеши!	1	3304299
Požuri.	Поторопись.	1	3292817
Požuriću.	Я потороплюсь.	1	4999387
Prekasno.	Слишком поздно.	1	5003508
Prekini!	Прекрати!	1	3384105
Preživljavamo.	Мы выживаем.	1	4993209
Prijatno!	Приятного аппетита!	1	3430011
Probaj.	Попробуй.	1	4781378
Probajmo.	Давай попробуем.	1	4259864
Probajmo.	Давайте попробуем.	1	4259864
Probaću.	Я попробую.	1	4999370
Radi.	Работает.	1	4993344
Radim.	Я работаю.	1	5043646
Sačekaću.	Я подожду.	1	4999368
Shvatiću.	Я пойму.	1	4999369
Slavim.	Я праздную.	1	4999321
Slušaj.	Слушай.	1	5003502
Slušajte.	Слушайте.	1	5003503
Smešno!	Смешно!	1	901904
Smešno!	Забавно!	1	901904
Studiraću.	Я буду учиться.	1	2993055
Stvarno?	Действительно?	1	3264397
Sumnjam.	Сомневаюсь.	1	3650887
Svakako.	Непременно.	1	6895976
Svakako.	Обязательно.	1	6895976
Svetogrđe!	Святотатство!	1	2322607
Svetogrđe!	Кощунство!	1	2322607
Ućuti!	Замолчи!	1	3384106
Uživaj.	Наслаждайся!	1	4782954
Vidim.	Я вижу.	1	4250467
Vidim.	Вижу.	1	4250467
Zaboravi.	Забудь.	1	4960983
Zaista?	Реально?	1	3264399
Zaista?	Правда?	1	3264399
Zanimljivo.	Любопытно.	1	4250272
Zanimljivo...	Любопытно...	1	885595
Započeću.	Я начну.	1	4999374
Zaveži!	Заткнись!	1	3384104
Zašto?	Почему?	1	3384173
Zbogom.	Прощай.	1	3356088
Zbogom.	Прощайте.	1	3356088
Zdravo.	Привет.	1	3303505
Znam.	Знаю.	1	2263837
Znam.	Я знаю.	1	2263837
Znaće.	Они узнают.	1	4993313
Znaće.	Он узнает.	1	4993313
Znaće.	Она узнает.	1	4993313
Ćorsokak.	Тупик.	1	4251391
Čekam.	Я жду.	1	5043644
Čekam.	Жду.	1	5043644
Čekaću.	Я подожду.	1	4999366
Čestitam!	Поздравляю!	1	3644411
Šta?	Что?	1	3242661
Živeli!	Ваше здоровье!	1	3644299
Živeću.	Я буду жить.	1	4992621
Žmuri.	Зажмурься.	1	4240670
Žurim.	Я тороплюсь.	1	5603341
Žurim.	Я спешу.	1	5603341
A ti?	А ты?	2	3414401
Ali zašto?	Но почему?	2	4264018
Biću automehaničar.	Я буду автомехаником.	2	3472102
Biću tamo.	Я буду там.	2	5586402
Bog zna.	Бог знает.	2	5874298
Bojim se.	Я боюсь.	2	4999356
Brod tone.	Корабль тонет.	2	3281933
Da, možemo.	Да, можем.	2	3283428
Deca spavaju.	Дети спят.	2	4292342
Dobar dan!	Добрый день!	2	3314350
Dobro došli.	Добро пожаловать.	2	2332062
Dobro je.	Это хорошо.	2	3644358
Dobro je.	Оно хорошее.	2	3644358
Dobro jutro!	Доброе утро!	2	3384118
Dobro pitanje.	Хороший вопрос.	2	3263627
Dobro radiš.	Ты хорошо работаешь.	2	4273226
Dobro sam.	У меня всё хорошо.	2	4248516
Dolazi autobus.	Автобус подходит.	2	3279785
Dosadan sam.	Я скучный.	2	3669242
Dođi bliže.	Подойди ближе.	2	4995976
Dođi sutra.	Приходи завтра.	2	4995968
Dođite sutra.	Приходите завтра.	2	4995969
Drvo gori.	Дерево горит.	2	5003672
Duva vetar.	Дует ветер.	2	3463566
Evo knjige.	Вот книги.	2	3438803
Gde ćeš?	Где ты будешь?	2	3387240
Gladan sam.	Я голоден.	2	3264437
Gladan sam.	Я голодный.	2	3264437
Glup si.	Ты глуп.	2	3243180
Glupa si.	Ты глупая.	2	4993188
Glupi ste.	Вы глупые.	2	4993189
Govori jasno.	Говори ясно.	2	3654415
Hajdemo kući.	Пойдём домой.	2	3243882
Hladno je.	Холодно.	2	3242667
Hoću mač!	Я хочу меч!	2	3313557
I ja.	И я.	2	3390858
Idemo kući.	Мы идём домой.	2	5599964
Ignoriši ih.	Игнорируй их.	2	5043676
Igram hokej.	Я играю в хоккей.	2	5841833
Igram tenis.	Я играю в теннис.	2	3384568
Igraću tenis.	Я буду играть в теннис.	2	6993132
Imam 30.	Мне 30.	2	5043624
Imam glavobolju.	У меня болит голова.	2	3384084
Imam glavobolju.	У меня голова болит.	2	3384084
Imam granatu.	У меня граната.	2	3350419
Imam granatu.	У меня есть граната.	2	3350419
Imam ideju.	У меня есть идея.	2	2925861
Imam ideju.	У меня идея.	2	2925861
Imam knjigu.	У меня есть книга.	2	3434499
Imam modricu.	У меня синяк.	2	4967535
Imam pitanje.	У меня вопрос.	2	3424927
Imam pitanje.	У меня есть вопрос.	2	3424927
Imam porodicu.	У меня есть семья.	2	2499654
Imam rečnik.	У меня есть словарь.	2	3425851
Imam ćerku.	У меня есть дочь.	2	3266425
Imaš pravo.	Ты прав.	2	3243480
Imaš temperaturu.	У тебя температура.	2	3650677
Improvizovala sam.	Я импровизировала.	2	4999434
Izgledaš glupavo.	Ты глупо выглядишь.	2	6303055
Izgledaš glupavo.	Ты выглядишь глупо.	2	6303055
Izgledaš glupo.	Ты выглядишь глупо.	2	3430033
Izgledaš zdravo.	Ты выглядишь здоровым.	2	3650664
Izgledaš zdravo.	Ты выглядишь здоровой.	2	3650664
Izlazite odatle.	Выходите оттуда.	2	4449684
Izujte cipele.	Снимите обувь.	2	3419153
Izujte cipele.	Разуйтесь.	2	3419153
Ja plaćam.	Я плачу.	2	3425880
Ja predajem.	Я преподаю.	2	3243460
Ja, takođe.	Я тоже.	2	3390861
Još ne.	Ещё нет.	2	6895821
Kada odlaziš?	Когда уезжаешь?	2	3366750
Kakav ego!	Какое эго!	2	5955144
Kako brzo!	Как быстро!	2	4246036
Kako dirljivo!	Как трогательно!	2	4999454
Kako melodramatično!	Как мелодраматично!	2	4999458
Kako si?	Как ты?	2	3478064
Kako ste?	Как поживаете?	2	400925
Kako ste?	Как дела?	2	400925
Kako ste?	Как вы?	2	400925
Kasno je.	Поздно.	2	4960967
Kaži joj.	Скажи ей.	2	7009902
Kaži mu.	Скажи ему.	2	7009910
Kažnjen sam.	Я наказан.	2	4999271
Kažnjena sam.	Я наказана.	2	4999274
Klaustrofobična sam.	У меня клаустрофобия.	2	4999320
Ko kuca?	Кто стучит?	2	4248687
Ko kuca?	Кто стучится?	2	4248687
Koga briga?	Кого это волнует?	2	5003590
Koga čekate?	Кого вы ждёте?	2	3371112
Koga čekaš?	Кого ты ждёшь?	2	3371121
Koliko duboko?	Как глубоко?	2	5003570
Koliko jabuka?	Сколько яблок?	2	664830
Kuvam ručak.	Я готовлю обед.	2	6475469
Laku noć.	Спокойной ночи.	2	3392020
Ljudi greše.	Люди ошибаются.	2	6900220
Loše plivam.	Я плохо плаваю.	2	3387078
Mama radi.	Мама работает.	2	3430877
Mama, požuri!	Мама, поторопись!	2	3390925
Moje je.	Это моё.	2	4993374
Moje je.	Оно моё.	2	4993374
Mrtav si.	Ты мёртв.	2	4243583
Mrzim hemiju.	Ненавижу химию.	2	3644416
Mrzim te.	Ненавижу тебя.	2	805594
Mrzim školu.	Я ненавижу школу.	2	4781399
Mrzim školu.	Ненавижу школу.	2	4781399
Mrzimo Toma.	Мы ненавидим Тома.	2	4782995
Napad je.	Это нападение.	2	4246925
Napušteno je.	Оно заброшенное.	2	4992596
Nađi posao!	Найди работу!	2	3439022
Ne gledaj.	Не смотри.	2	4995904
Ne gledajte.	Не смотрите.	2	4995906
Ne govori.	Не говори.	2	4996840
Ne govorite.	Не говорите.	2	4996842
Ne pevaj.	Не пой.	2	4996826
Ne pevajte.	Не пойте.	2	4996828
Ne pevam.	Я не пою.	2	2708807
Ne pucaj!	Не стреляй!	2	3439027
Ne razgovaraj.	Не разговаривай.	2	4996884
Ne razgovarajte.	Не разговаривайте.	2	4996892
Ne razumem.	Я не понимаю.	2	3242664
Ne razumem.	Не понимаю.	2	3242664
Ne trči.	Не беги.	2	4996805
Ne trči.	Не бегай.	2	4996805
Ne trčite.	Не бегите.	2	4996807
